name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info,latitude,longitude
SpectraCare Health Systems,Henry County Clinic,219 Dothan Road,,Abbeville,AL,36310,800-951-4357,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SMHA SWFS * SS * TAY SE GL VET ADM MF CJ CO HV TRMA ALZ PTSD SED SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT DEC FPSY IMR PRS CM SPS ES,31.5755000000,-85.2790000000
SpectraCare Health Systems,Henry County Day Treatment,1242 U.S. Highway 431 South,,Abbeville,AL,36310,800-951-4357,334-951-4357,,,,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IDD IPT TELE * PEON * PVTN * CLF CMHG CSBG MC MD MI OSF PI SEF SF SMHA * SS * SE CO SMI * SMPD * YAD ADLT SNR * AH * VPPD * COOT DEC FPSY IMR PRS VRS CM SPS ES,31.5755000000,-85.2790000000
South Central Alabama MHC,Covington County Mental Health Center,19815 Bay Branch Road,,Andalusia,AL,36420,334-222-2523,877-530-0002,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP THIOT THIOR TRIFL ARIPI ASENA BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CMHG MC MD MI PI SF SMHA SWFS VAF * PA SS * SE SED SMI * STU * TBS LABT * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY PRS SH CM SPS,31.2971000000,-86.4905000000
South Central Alabama MHC,Montezuma Complex,205 Academy Drive,,Andalusia,AL,36420,334-428-5050,877-530-0002,,,,SA MH SUMH * PHDT RES * MSMH * CHLOR FLUPH HALOP THIOT THIOR TRIFL ARIPI ASENA BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE AIM * PVTN * CMHG MC MD MI PI SF SMHA SWFS VAF * PA SS * SMI * STU * TBS LABT * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY PRS SH CM IPC SPS,31.2971000000,-86.4905000000
RMC Anniston,,400 East 10th Street,,Anniston,AL,36207,256-235-5121,256-235-5482,256-741-6484,,,MH * HI * IPSY * CHLOR FLUPH HALOP THIOR ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT GT * CIT PEON WI * PVTN * MC MD MI PI SF SI SMHA VAF * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * COOT CM SPS ES,33.6803000000,-85.7137000000
RMC Health System,Regional Medical Center,400 East 10th Street,,Anniston,AL,36207,256-235-5121,256-235-5082,256-235-5482,,,SA MH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IPT AIM * CIT PEON * PVTN * MC MD MI PI SF SI SMHA VAF * SE VET CO HV TRMA ALZ PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT CM IPC SPS ES,33.6803000000,-85.7137000000
SpectraCare Health Systems,Cottonwood Specialized Care,1539 Sweetie Smith Road,,Ashford,AL,36312,334-691-8030,800-951-4357,,,,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT GT IDD TELE * PEON * PVTN * CLF CMHG CSBG MC MD MI PI SCJJ SEF SF SI SMHA SWFS * SS * SE GL VET MF CJ CO HV TRMA PTSD SMI * TCC * SMPD * YAD ADLT SNR * AH * VPPD * COOT DEC FPSY LAD PRS CM IPC SPS,31.1888000000,-85.2535000000
MHCNCA Inc,Athens Limestone Counseling Center,1307 East Elm Street,,Athens,AL,35611,256-232-3661,256-355-5904,800-365-6008,,,MH SUMH * OP PHDT * CMHC * HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IPT TELE AIM * CIT * PVTN * CLF CMHG CSBG MC MD OSF PI SCJJ SF SI SMHA * TAY SE CJ CO SED SMI * STU * PEER * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT FPSY CM,34.8036000000,-86.9707000000
Cherokee Etowah Dekalb CMHC,Etowah County Office,425 5th Avenue NW,,Attalla,AL,35954,256-492-7800,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CMHG MC MD MI PI SCJJ SEF SF SI SMHA SWFS VAF * SS * SED * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT ICM SH CM,34.0296000000,-86.0967000000
Birmingham VA Healthcare System,Bessemer VA Clinic,975 9th Avenue SW,Suite 400,Bessemer,AL,35022,205-428-3495,205-957-5300 x7931,205-428-3495 x7934,,,SA MH SUMH * OP * VAHC * FLUPH HALOP CLOZA NRT NSC ANTPYCH * AIM * CIT PEON WI * FED VAMC * MC MI PI VAF * VET * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * FPSY LAD SH IPC SPS,33.3224000000,-86.9657000000
