name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info,full_address,location,latitude,longitude,GEOID,STATE,COUNTY,TRACT,BLOCK
Medstar Harbor Hospital,Behavioral Health,3001 South Hanover Street,Suite 164,Brooklyn,MD,21225,410-350-7550,,,,,MH * OP PHDT * PSY * ARIPI CLOZA OLANZ OLANZF QUETI RISPE ANTPYCH * GT IPT * PVTN * MC MD * PA * TAY SE GL VET MF CO HV ALZ PEFP SMI * PEER * SMON * YAD ADLT SNR * AH * VAPN * SPS,"3001 South Hanover Street, Brooklyn, NY 21225",,,,,,,,
Astor Servs for Children and Families,Astor Day Treatment Program,516 East Tremont Avenue,,Bronx,NY,10457,347-978-2450,929-285-3917 x1096,,,,MH SUMH * PHDT * PH * CHLOR HALOP PERPH ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON * PVTN * MD PI SEF * TRMA SED * STU * TCC * SMON * CHLD * SP * VAPN * FPSY CM SPS ES,"516 East Tremont Avenue, Bronx, NY 10457","516, East Tremont Avenue, East Tremont, The Bronx, Bronx County, City of New York, New York, 10457, United States",40.8467004,-73.8968222,360050395004001,36,005,039500,4001
Astor Servs for Children and Families,Highbridge Clinic,1419 Shakespeare Avenue,1st Floor,Bronx,NY,10452,718-231-3400,718-732-7080 x0,,,,SA MH SUMH * OP * OMH * NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * CLF MD OSF PI SF SI SMHA SWFS * CO TRMA PED PTSD SED * STU * TCC * SMON * CHLD YAD ADLT * SP * VAPN * COOT FPSY CM SPS,"1419 Shakespeare Avenue, Bronx, NY 10452","1419, Shakespeare Avenue, High Bridge, The Bronx, Bronx County, City of New York, New York, 10452, United States",40.8425333,-73.9212384,360050213023000,36,005,021302,3000
Astor Servs for Children and Families,Lawrence F Hickey Center,4010 Dyre Avenue,,Bronx,NY,10466,845-515-3000,718-515-3000,,,,MH * PHDT * PH * ANTPYCH * CBT CFT GT IPT TELE * CIT PEON * PVTN * MD SEF * TRMA SED * SMON * CHLD * VAPN * FPSY CM SPS ES,"4010 Dyre Avenue, Bronx, NY 10466","Public School 15, 4010, Dyre Avenue, Parkside, The Bronx, Bronx County, City of New York, Westchester County, New York, 10466, United States",40.8909457,-73.83073,360050456002002,36,005,045600,2002
Astor Servs for Children and Families,Tilden Clinic,750 Tilden Street,,Bronx,NY,10467,718-231-3400,,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * CLF MD OSF PI SF SI SMHA SWFS * CO TRMA PTSD SED * STU * TCC * SMON * CHLD YAD ADLT * SP * VAPN * COOT FPSY CM SPS,"750 Tilden Street, Bronx, NY 10467","750, Tilden Street, Williams Bridge, The Bronx, Bronx County, City of New York, New York, 10467, United States",40.8766804,-73.8627713,360050380004006,36,005,038000,4006
BASICS Esperanza PROS,,915 Westchester Avenue,1st Floor,Bronx,NY,10459,646-224-9300 x6302,646-224-9300 x6311,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * MC MD SI * SS * SE GL VET CO TRMA PED PTSD SMI * STU * HS PEER * TCC * SMON * YAD ADLT SNR * SP * VAPN * COOT DEC FPSY IMR PRS SEMP SH VRS CM SPS ES,"915 Westchester Avenue, Bronx, NY 10459","915, Westchester Avenue, The Bronx, Bronx County, City of New York, New York, 10459, United States",40.8216148,-73.8983758,360050129011006,36,005,012901,1006
Bronx Care Health System,Inpatient Psychiatric Unit,1265 Franklin Avenue,,Bronx,NY,10456,718-901-8872,,,,,SA MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP PERPH THIOT TRIFL CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA SWFS * PA SS * TAY SE SED SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F25 F28 F31 F35 F36 F70 F81 F92 * VAPN * COOT FPSY LAD SPS,"1265 Franklin Avenue, Bronx, NY 10456","Doctor Martin Luther King, Junior Health Center, 1265, Franklin Avenue, Morrisania, The Bronx, City of New York, New York, 10456, United States",40.831306,-73.9028319,360050149003002,36,005,014900,3002
BronxCare Health System,Childrens Services,1276 Fulton Avenue,,Bronx,NY,10457,718-901-6888,718-579-7385,718-579-7395,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP CLOZA OLANZ OLANZF NRT ANTPYCH * AT CBT CFT GT IPT TELE * PEON * PVTN * FQHC * MD PI SF SI SWFS * PA SS * GL CO HV TRMA PTSD SED * STU * SMON * CHLD * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * FPSY SPS,"1276 Fulton Avenue, Bronx, NY 10457","Bronx-Lebanon Hospital Center Fulton Division, 1276, Fulton Avenue, Morrisania, The Bronx, City of New York, New York, 10456, United States",40.8314156,-73.9031729,360050149003002,36,005,014900,3002
Bronx Care Hospital,Outpatient 2,1265 Franklin Avenue,,Bronx,NY,10456,718-579-7361,718-579-7385,718-579-7395,,,SA MH SUMH * OP * OMH * FLUPH HALOP CLOZA OLANZ OLANZF RISPE NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL CO TRMA PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * AOT FPSY SPS,"1265 Franklin Avenue, Bronx, NY 10456","Doctor Martin Luther King, Junior Health Center, 1265, Franklin Avenue, Morrisania, The Bronx, City of New York, New York, 10456, United States",40.831306,-73.9028319,360050149003002,36,005,014900,3002
Bronx/Lebanon Hospital Center,Adult Outpatient Clinic,1276 Fulton Avenue,,Bronx,NY,10456,718-901-8440,718-579-7395,718-579-7385,,,SA MH SUMH * OP * OMH * FLUPH HALOP CLOZA OLANZ OLANZF RISPE NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL CO TRMA SMI * STU * TCC * SMON * YAD ADLT SNR * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * AOT FPSY SPS,"1276 Fulton Avenue, Bronx, NY 10456","Bronx-Lebanon Hospital Center Fulton Division, 1276, Fulton Avenue, Morrisania, The Bronx, City of New York, New York, 10456, United States",40.8314156,-73.9031729,360050149003002,36,005,014900,3002
