"GEOID.x","NAME","populationE","populationM","med_incE","med_incM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","total_raceE","total_raceM","poverty_totalE","poverty_totalM","poverty_belowE","poverty_belowM","white_pct","black_pct","native_pct","asian_pct","poverty_rate_pct","ZIP","name1","name2","street1","street2","city","state","phone","intake1","intake2","intake1a","intake2a","service_code_info","full_address","location","latitude","longitude","GEOID.y","STATE","COUNTY","TRACT","BLOCK","GEOID_truncated"
"10001","ZCTA5 10001",27004,1827,106509,9423,15428,1696,2355,583,25,41,5031,774,27004,1827,25825,1824,4097,843,57.1322766997482,8.72093023255814,0.0925788772033773,18.6305732484076,15.864472410455,"10001","Blanton Peale Counseling Center","Blanton Peale Institute","7 West 30Th Street","9th and 10th Floors","New York","NY","212-725-7850","212-725-7850 x119",NA,NA,NA,"MH * OP * OMH * ANTPYCH * CBT CFT EMDR IDD IPT TELE * PVTN * MC MD PI PCF SF * SS * TAY SE GL DV PTSD * SMON * CHLD YAD ADLT SNR * SP FX * F47 * VAPN * SPS","7 West 30Th Street, New York, NY 10001","7, West 30th Street, Koreatown, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10001, United States",40.7464387,-73.9870499,"360610076002000",36,"061","007600",2000,"36061007600"
"10001","ZCTA5 10001",27004,1827,106509,9423,15428,1696,2355,583,25,41,5031,774,27004,1827,25825,1824,4097,843,57.1322766997482,8.72093023255814,0.0925788772033773,18.6305732484076,15.864472410455,"10001","Hudson Guild Counseling Service",NA,"441 West 26Th Street",NA,"New York","NY","212-760-9822",NA,NA,NA,NA,"MH SUMH * OP * OMH * ARIPI RISPE ANTPYCH * CBT DBT IPT TELE * PVTN * MC MD PI SF SI * STU * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * FPSY","441 West 26Th Street, New York, NY 10001","John Lovejoy Elliott Center, 441, West 26th Street, Chelsea, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10001, United States",40.7495468,-74.0014911,"360610097002002",36,"061","009700",2002,"36061009700"
"10001","ZCTA5 10001",27004,1827,106509,9423,15428,1696,2355,583,25,41,5031,774,27004,1827,25825,1824,4097,843,57.1322766997482,8.72093023255814,0.0925788772033773,18.6305732484076,15.864472410455,"10001","Postgraduate Center for Mental Health","Center for Adult Psychotherapy","213 West 35Th Street","4th Floor","New York","NY","212-665-1860","212-576-4104",NA,NA,NA,"MH SUMH * OP * OMH * CHLOR DROPE FLUPH HALOP LOXAP PERPH PROCH THIOT ARIPI CLOZA LURAS OLANZ OLANZF PALIP ANTPYCH * CBT CFT GT IPT TELE * PVTN * MC MD PI SF SI * SMON * YAD ADLT SNR * AH SP * VAPN * AOT","213 West 35Th Street, New York, NY 10001","Cutlets, 213, West 35th Street, Garment District, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10001, United States",40.7520011,-73.9906484,"360610109001004",36,"061","010900",1004,"36061010900"
"10002","ZCTA5 10002",76518,2894,43362,5737,23951,1688,6785,1318,415,265,28590,1973,76518,2894,75806,2889,19793,2806,31.3011317598474,8.86719464701116,0.542356046943203,37.3637575472438,26.1100704429729,"10002","Lower Eastside Service Center","Continuing Day Treatment Program","46 East Broadway","2nd Floor","New York","NY","212-343-3520",NA,"212-343-3563",NA,NA,"MH * OP * OMH * ANTPYCH * AT CBT CFT GT IPT TELE * PEON * PVTN * MC MD PI SF * SS * SMI * STU * MST LABT * TCC * SMON * YAD ADLT SNR * VAPN * DEC FPSY ICM PRS CM SPS","46 East Broadway, New York, NY 10002","46, East Broadway, Two Bridges, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States",40.7137769,-73.9958626,"360610008001000",36,"061","000800",1000,"36061000800"
"10002","ZCTA5 10002",76518,2894,43362,5737,23951,1688,6785,1318,415,265,28590,1973,76518,2894,75806,2889,19793,2806,31.3011317598474,8.86719464701116,0.542356046943203,37.3637575472438,26.1100704429729,"10002","Lower Eastside Service Center","Dual Recovery Services","46 East Broadway","6th Floor","New York","NY","212-343-3520",NA,"212-343-3522",NA,NA,"SA MH * OP * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT ANTPYCH * CBT GT IDD IPT TELE * PVTN * MD SF * PA SS * CO * STU * PEER * TCC * SMON * YAD ADLT SNR * VAPN * COOT SPS","46 East Broadway, New York, NY 10002","46, East Broadway, Two Bridges, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States",40.7137769,-73.9958626,"360610008001000",36,"061","000800",1000,"36061000800"
"10002","ZCTA5 10002",76518,2894,43362,5737,23951,1688,6785,1318,415,265,28590,1973,76518,2894,75806,2889,19793,2806,31.3011317598474,8.86719464701116,0.542356046943203,37.3637575472438,26.1100704429729,"10002","University Settlement Society of NY","Victory Guild Consultation Center","184 Eldridge Street",NA,"New York","NY","212-453-4522",NA,NA,NA,NA,"MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL CLOZA ILOPE OLANZF RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IPT TELE * PVTN * CLF CMHG MC MD OSF PI PCF SCJJ SEF SF SI SMHA SWFS * TAY SE GL VET CJ TRMA PTSD SED SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F17 F19 F28 F35 F36 F42 F66 F70 * VAPN * CDM COOT DEC FPSY CM SPS","184 Eldridge Street, New York, NY 10002","University Settlement Society of New York, 184, Eldridge Street, Lower East Side, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States",40.7205383,-73.990564,"360610018004000",36,"061","001800",4000,"36061001800"
"10003","ZCTA5 10003",53877,2579,152863,10149,36515,2428,2899,748,51,52,9023,1065,53877,2579,44602,2563,5414,1126,67.7747461811162,5.38077472762032,0.0946600590233309,16.7474061287748,12.138469126945,"10003","Saint Marks Place Institute for MH Inc",NA,"57 Saint Marks Place","1st, 2nd and 3rd Floors","New York","NY","212-982-3470 x125","212-982-3470",NA,NA,NA,"SA MH SUMH * OP * OMH * CHLOR HALOP LOXAP PROCH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT KIT TMS TELE * PVTN * MC MD PI SF SI * TAY SE GL VET CJ CO HV DV TRMA TBI PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F66 F70 * VAPN * AOT CDM COOT FPSY IMR IPC SPS","57 Saint Marks Place, New York, NY 10003","57, Saint Marks Place, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States",40.7282762,-73.986409,"360610038007000",36,"061","003800",7000,"36061003800"
"10004","ZCTA5 10004",4579,926,232543,14137,2653,605,266,142,0,13,1419,712,4579,926,4578,926,141,99,57.9384145009827,5.80912863070539,0,30.989298973575,3.07994757536042,"10004","Center for Hearing and Communications",NA,"50 Broadway","6th Floor","New York","NY","917-305-7739",NA,"917-305-7700",NA,NA,"MH * OP * OMH * CHLOR FLUPH HALOP ARIPI CLOZA OLANZ OLANZF RISPE ANTPYCH * CBT CFT DBT GT IPT TELE * CIT * PVTN * MC MD OSF PI PCF SF SI SMHA * SS * TAY SE GL VET CJ HV DV TRMA TBI PED PTSD SMI * STU * TCC * SMOP * CHLD YAD ADLT SNR * AH * VAPP * COOT FPSY","50 Broadway, New York, NY 10004","NY Gifts, 50, Broadway, Whitehall, Manhattan, New York County, City of New York, New York, 10003, United States",40.7062921,-74.0126905,"360610009001003",36,"061","000900",1003,"36061000900"
"10009","ZCTA5 10009",58418,3009,83344,8153,32738,2376,4477,721,130,117,8106,1248,58418,3009,58348,3013,13206,1593,56.0409462836797,7.66373378068404,0.222534150433086,13.8758601800815,22.6331665181326,"10009","Community Access","East Village Access PROS","242 East 2Nd Street",NA,"New York","NY","212-780-9008 x7204","212-780-9008 x7219",NA,NA,NA,"SA MH SUMH * OP PHDT * OMH * NSC ANTPYCH * AT CBT DBT GT IDD TELE * PVTN * MC MD SMHA * CO TRMA PTSD SMI * STU * MST LABT * PEER * TCC * SMOP * YAD ADLT SNR * VAPP * FPSY PRS SEMP VRS SPS","242 East 2Nd Street, New York, NY 10009","242, East 2nd Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10009, United States",40.7215708,-73.9816804,"360610022021001",36,"061","002202",1001,"36061002202"
"10009","ZCTA5 10009",58418,3009,83344,8153,32738,2376,4477,721,130,117,8106,1248,58418,3009,58348,3013,13206,1593,56.0409462836797,7.66373378068404,0.222534150433086,13.8758601800815,22.6331665181326,"10009","Ryan Health","NENA","279 East 3Rd Street",NA,"New York","NY","212-769-7200 x7843","212-477-8500 x7843",NA,NA,NA,"MH SUMH * OP * OMH * ARIPI CLOZA LURAS OLANZ RISPE ANTPYCH * AT CBT CFT DBT GT IPT TELE AIM * PVTN * FQHC * MC MD PI PCF SF * PA SS * TAY SE TRMA SED SMI * STU * LABT * TCC * SMOP * CHLD YAD ADLT SNR * SP FX * F28 * VAPP * FPSY CM SPS ES","279 East 3Rd Street, New York, NY 10009","Ryan/NENA Comprehensive Heath Service Center, 279, East 3rd Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10009, United States",40.721615,-73.9800434,"360610026011002",36,"061","002601",1002,"36061002601"
