"GEOID","NAME","populationE","populationM","med_incE","med_incM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","total_raceE","total_raceM","poverty_totalE","poverty_totalM","poverty_belowE","poverty_belowM","white_pct","black_pct","native_pct","asian_pct","poverty_rate_pct"
"36005000100","Census Tract 1; Bronx County; New York",4446,616,NA,NA,1898,390,2064,369,9,19,123,60,4446,616,0,13,0,13,42.6900584795322,46.4237516869096,0.202429149797571,2.76653171390014,NA
"36005000200","Census Tract 2; Bronx County; New York",4870,621,115064,51789,750,332,1473,450,0,13,299,352,4870,621,4870,621,688,368,15.4004106776181,30.2464065708419,0,6.13963039014374,14.1273100616016
"36005000400","Census Tract 4; Bronx County; New York",6257,982,100553,31493,790,320,1897,672,0,19,192,159,6257,982,6257,982,378,193,12.6258590378776,30.3180437909541,0,3.06856320920569,6.0412338181237
"36005001600","Census Tract 16; Bronx County; New York",6177,618,41362,11967,551,200,2292,628,213,207,148,182,6177,618,5961,623,893,374,8.92018779342723,37.1053909664886,3.44827586206897,2.39598510603853,14.9807079349102
"36005001901","Census Tract 19.01; Bronx County; New York",2181,258,49500,19070,466,183,1125,292,34,50,0,13,2181,258,2178,258,623,229,21.3663457129757,51.5818431911967,1.55891792755617,0,28.6042240587695
"36005001902","Census Tract 19.02; Bronx County; New York",1883,458,67375,24301,254,138,426,121,29,36,27,28,1883,458,1814,469,586,186,13.4891131173659,22.623473181094,1.5400955921402,1.43388210302708,32.3042998897464
"36005001903","Census Tract 19.03; Bronx County; New York",0,13,NA,NA,0,13,0,13,0,13,0,13,0,13,0,13,0,13,NA,NA,NA,NA,NA
"36005001904","Census Tract 19.04; Bronx County; New York",0,13,NA,NA,0,13,0,13,0,13,0,13,0,13,0,13,0,13,NA,NA,NA,NA,NA
"36005002001","Census Tract 20.01; Bronx County; New York",4461,851,24684,5066,565,408,2106,639,20,34,0,13,4461,851,4461,851,1847,747,12.6653216767541,47.2091459314055,0.448329970858552,0,41.4032728087873
"36005002002","Census Tract 20.02; Bronx County; New York",3915,1011,NA,NA,698,589,1146,587,25,42,0,13,3915,1011,3747,911,1307,619,17.8288633461047,29.272030651341,0.638569604086845,0,34.8812383239925
"36005002300","Census Tract 23; Bronx County; New York",4528,596,19743,6261,490,282,1936,526,178,257,0,13,4528,596,4527,596,2141,468,10.821554770318,42.756183745583,3.93109540636042,0,47.2940136956041
"36005002400","Census Tract 24; Bronx County; New York",0,13,NA,NA,0,13,0,13,0,13,0,13,0,13,0,13,0,13,NA,NA,NA,NA,NA
"36005002500","Census Tract 25; Bronx County; New York",5642,741,27378,10797,1051,463,1562,430,103,157,0,19,5642,741,5606,741,2494,607,18.6281460475009,27.6852180077987,1.82559376107763,0,44.4880485194435
"36005002701","Census Tract 27.01; Bronx County; New York",3335,534,21427,4951,177,92,1242,374,0,13,16,27,3335,534,3270,536,1806,564,5.30734632683658,37.2413793103448,0,0.47976011994003,55.2293577981651
"36005002702","Census Tract 27.02; Bronx County; New York",5000,593,29206,12504,214,182,1602,523,90,151,0,19,5000,593,4945,594,2176,620,4.28,32.04,1.8,0,44.0040444893832
"36005002800","Census Tract 28; Bronx County; New York",5230,763,64308,17895,468,289,3463,536,0,19,0,19,5230,763,5193,757,130,111,8.94837476099426,66.2141491395793,0,0,2.50336992104756
"36005003100","Census Tract 31; Bronx County; New York",2559,436,41370,14881,434,183,977,245,13,23,326,300,2559,436,2559,436,582,235,16.9597499023056,38.1789761625635,0.50801094177413,12.7393513091051,22.7432590855803
"36005003300","Census Tract 33; Bronx County; New York",3559,654,24122,10692,469,299,1314,678,0,13,0,13,3559,654,3507,658,1853,784,13.177858949143,36.9204832818207,0,0,52.8371827773025
"36005003500","Census Tract 35; Bronx County; New York",3899,922,34185,5201,673,325,1598,879,56,86,0,13,3899,922,3899,922,1046,355,17.2608361118235,40.98486791485,1.43626570915619,0,26.8273916388818
"36005003700","Census Tract 37; Bronx County; New York",331,168,NA,NA,45,44,136,103,0,13,0,13,331,168,305,144,115,71,13.595166163142,41.0876132930514,0,0,37.7049180327869
"36005003800","Census Tract 38; Bronx County; New York",1182,172,88077,63173,466,218,200,104,0,13,36,51,1182,172,1166,173,171,185,39.424703891709,16.9204737732657,0,3.04568527918782,14.6655231560892
"36005003900","Census Tract 39; Bronx County; New York",6227,1225,20640,11293,829,421,346,185,449,542,81,117,6227,1225,6197,1226,2078,648,13.3129918098603,5.55644772763771,7.21053476794604,1.30078689577646,33.5323543650153
"36005004001","Census Tract 40.01; Bronx County; New York",1409,285,70536,13570,205,125,194,140,17,26,343,178,1409,285,1409,285,144,121,14.5493257629524,13.7686302342087,1.20652945351313,24.3435060326473,10.2200141944642
"36005004100","Census Tract 41; Bronx County; New York",6583,1267,27328,13177,1059,633,2710,865,68,153,56,89,6583,1267,6560,1265,2749,1142,16.0868904754671,41.1666413489291,1.03296369436427,0.850675983594106,41.905487804878
