"name1","name2","street1","street2","city","state","zip","phone","intake1","intake2","intake1a","intake2a","service_code_info","latitude","longitude","GEOID","STATE","COUNTY","TRACT","BLOCK"
"Astor Servs for Children and Families","Astor Day Treatment Program","516 East Tremont Avenue",NA,"Bronx","NY",10457,"347-978-2450","929-285-3917 x1096",NA,NA,NA,"MH SUMH * PHDT * PH * CHLOR HALOP PERPH ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON * PVTN * MD PI SEF * TRMA SED * STU * TCC * SMON * CHLD * SP * VAPN * FPSY CM SPS ES",40.8486,-73.8999,"360050379002004","36","005","037900",2004
"Astor Servs for Children and Families","Highbridge Clinic","1419 Shakespeare Avenue","1st Floor","Bronx","NY",10452,"718-231-3400","718-732-7080 x0",NA,NA,NA,"SA MH SUMH * OP * OMH * NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * CLF MD OSF PI SF SI SMHA SWFS * CO TRMA PED PTSD SED * STU * TCC * SMON * CHLD YAD ADLT * SP * VAPN * COOT FPSY CM SPS",40.8376,-73.9216,"360050219001008","36","005","021900",1008
"Astor Servs for Children and Families","Lawrence F Hickey Center","4010 Dyre Avenue",NA,"Bronx","NY",10466,"845-515-3000","718-515-3000",NA,NA,NA,"MH * PHDT * PH * ANTPYCH * CBT CFT GT IPT TELE * CIT PEON * PVTN * MD SEF * TRMA SED * SMON * CHLD * VAPN * FPSY CM SPS ES",40.8904,-73.8503,"360050424002000","36","005","042400",2000
"Astor Servs for Children and Families","Tilden Clinic","750 Tilden Street",NA,"Bronx","NY",10467,"718-231-3400",NA,NA,NA,NA,"SA MH SUMH * OP * OMH * ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * CLF MD OSF PI SF SI SMHA SWFS * CO TRMA PTSD SED * STU * TCC * SMON * CHLD YAD ADLT * SP * VAPN * COOT FPSY CM SPS",40.8737,-73.8712,"360050334001003","36","005","033400",1003
"BASICS Esperanza PROS",NA,"915 Westchester Avenue","1st Floor","Bronx","NY",10459,"646-224-9300 x6302","646-224-9300 x6311",NA,NA,NA,"SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * MC MD SI * SS * SE GL VET CO TRMA PED PTSD SMI * STU * HS PEER * TCC * SMON * YAD ADLT SNR * SP * VAPN * COOT DEC FPSY IMR PRS SEMP SH VRS CM SPS ES",40.8247,-73.894,"360050127012002","36","005","012701",2002
"Bronx Care Health System","Inpatient Psychiatric Unit","1265 Franklin Avenue",NA,"Bronx","NY",10456,"718-901-8872",NA,NA,NA,NA,"SA MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP PERPH THIOT TRIFL CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA SWFS * PA SS * TAY SE SED SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F25 F28 F31 F35 F36 F70 F81 F92 * VAPN * COOT FPSY LAD SPS",40.8316,-73.9099,"360050145004003","36","005","014500",4003
"BronxCare Health System","Childrens Services","1276 Fulton Avenue",NA,"Bronx","NY",10457,"718-901-6888","718-579-7385","718-579-7395",NA,NA,"SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP CLOZA OLANZ OLANZF NRT ANTPYCH * AT CBT CFT GT IPT TELE * PEON * PVTN * FQHC * MD PI SF SI SWFS * PA SS * GL CO HV TRMA PTSD SED * STU * SMON * CHLD * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * FPSY SPS",40.8486,-73.8999,"360050379002004","36","005","037900",2004
"Bronx Care Hospital","Outpatient 2","1265 Franklin Avenue",NA,"Bronx","NY",10456,"718-579-7361","718-579-7385","718-579-7395",NA,NA,"SA MH SUMH * OP * OMH * FLUPH HALOP CLOZA OLANZ OLANZF RISPE NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL CO TRMA PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * AOT FPSY SPS",40.8316,-73.9099,"360050145004003","36","005","014500",4003
"Bronx/Lebanon Hospital Center","Adult Outpatient Clinic","1276 Fulton Avenue",NA,"Bronx","NY",10456,"718-901-8440","718-579-7395","718-579-7385",NA,NA,"SA MH SUMH * OP * OMH * FLUPH HALOP CLOZA OLANZ OLANZF RISPE NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL CO TRMA SMI * STU * TCC * SMON * YAD ADLT SNR * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * AOT FPSY SPS",40.8316,-73.9099,"360050145004003","36","005","014500",4003
"Bronx Psychiatric Center","BPC White Plains Road Clinic/ACT Prog","3050 White Plains Road",NA,"Bronx","NY",10467,"929-348-4492",NA,NA,NA,NA,"SA MH SUMH * OP * OMH * CHLOR CLOZA OLANZ RISPE NRT NSC ANTPYCH * AT CBT GT IPT * PEON PEOFF * STG * CLF MC MD PI SI SMHA * PA * GL CJ HV SMI * STU * HS PEER * TCC * SMPD * YAD ADLT SNR * AH SP FX * F17 F36 * VAPN * ACT COOT DEC FPSY PRS SEMP VRS SPS ES",40.8737,-73.8712,"360050334001003","36","005","033400",1003
"Childrens Aid Society","Bronx Health Services","910 East 172nd Street","3rd Floor","Bronx","NY",10460,"347-767-2200",NA,"347-767-2212",NA,NA,"MH * OP * OMH * CBT IPT TELE * PVTN * MD SF SI SWFS * SS * TAY GL TRMA PTSD SED * STU * SMON * CHLD YAD * AH SP * VAPP * FPSY IPC SPS",40.8409,-73.8794,"360050361003001","36","005","036100",3001
"Graham Windham","Mental Health and Wellness Center","1946 Webster Avenue","1st Floor","Bronx","NY",10457,"212-368-4100",NA,NA,NA,NA,"MH * OP * OMH * CBT CFT GT IPT TELE * PVTN * MD * TAY TRMA PTSD SED * SMOP * CHLD YAD * SP * VAPP * FPSY TPC",40.8486,-73.8999,"360050379002004","36","005","037900",2004
"Jewish Board","Community Mental Health Center","2488 Grand Concourse","Suite 2000","Bronx","NY",10458,"718-881-7600 x51438","844-663-2255",NA,NA,NA,"MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IPT TELE * CIT * PVTN * CMHG CSBG MC MD PI SF SI * CO * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * COOT CM SPS",40.8633,-73.8895,"360050397002000","36","005","039700",2000
"Jewish Child Care Association",NA,"425 Westchester Avenue",NA,"Bronx","NY",10455,"718-742-8550",NA,NA,NA,NA,"MH * OP * OMH * ANTPYCH * CBT CFT DBT GT IPT TELE * PEOFF * PVTN * CLF MD OSF PI SF SMHA SWFS * TAY GL TRMA PTSD SED * STU * MST LABT * PEER * SMON * CHLD YAD * AH SP * VAPN * ACT COOT FPSY PRS SEMP TPC VRS CM",40.8153,-73.9072,"360050073001000","36","005","007300",1000
